scheme_name,details,benefits,eligibility,app_process,docs_reqd
Thayi Bhagya Scheme,"Under this scheme, the pregnant woman belonging to BPL family can avail delivery services free of cost in the registered private hospital near her house. She is not required to pay any charges right from the point of admission to discharge. The benefit is limited to the first two live deliveries.
The beneficiaries are identified through the ANC cards issued to them.
The scheme has been introduced in the six ""C"" category districts of Gulbarga, Bidar, Raichur, Koppal, Bijapur and Bagalkot and the backward district Chamarajanagar.

i. Shortage of specialist doctors, especially the gynecologists, anesthetists and pediatricians at Taluk hospitals and CHCs, The posts of these specialists are mostly vacant in Government Hospitals.
ii. Though there are very large number of government health care institutions in the state, the shortage of these specialists is a big draw back in providing proper maternal and child health care.
iii.There are considerable number of specialist doctors in urban private hospitals.
iv. By entering into Public-Private partnership with these hospitals, rural women can be provided with facilities for proper institutional deliveries.

The hospitals having requisite facilities will be registered under the programme with the approval of District Health Society. The Hospitals will then sign an MOU with the Department. Government Hospitals can also participate in this scheme.

Such registered hospitals will be paid Rs. 3.00 lakhs per 100 deliveries, which include normal delivery, complicated deliveries, caesarian, forceps deliveries etc. These hospitals will be paid 10% ie., Rs.30,000 advance on participation in the scheme. This is to encourage more and more private hospitals to participate in the programme.
The Government Hospitals will be paid Rs. 1.50 lakhs for every 100 deliveries, out of which 50,000 goes to the Health Care Committee and the remaining is shared among the Hospital doctors, nurses and staff as per Yeshaswini guidelines.​","The scheme provides benefits in the form of delivery services free of costs and others.
Women belonging to BPL families can avail totally cashless treatment in theses private hospitals or can avail delivery services free of cost in the registered private hospital near her house.
Registered private hospital will be available near her house.
Candidate is not required to pay any charges right from the point of admission to discharge.
Free checkup and medicines will be provided.","The benefit is limited to the first two deliveries.
The candidate women must be residents of Karnataka government
The hospital should have minimum 10 inpatient beds.
Should have proper functional Operation Theater and Delivery room.
24 hrs availability of gynecologists, anesthetists and pediatricians.
Should have link with Blood banks.
The DHO has to identify such hospitals and invite them for partnership. Interested hospitals can sign the MOU.
Such registered hospitals will be paid Rs. 3.00 lakhs per 100 deliveries, which include normal delivery, complicated deliveries, caesarean, forceps deliveries etc. These hospitals will be paid 10% ie., Rs.30,000 advance on participation in the scheme. This is to encourage more and more private hospitals to participate in the program.
The Government Hospitals will be paid Rs. 1.50 lakhs for every 100 deliveries, out of which 50,000 goes to the Health Care Committee and the remaining is shared among the Hospital doctors, nurses and staff as per Yeshaswini guidelines.​
","Offline
The pregnant women have to register their names with the Junior Female Health Assistant of the area.
The women will issue ANC card.
The beneficiaries are identified through the ANC cards issued to them.
Then candidates can avail benefits from nearer registered hospitals.

Candidate applicants can contact the Head office from where the scheme is operated.
Email: prs-hfw@karnataka.gov.in","Domicile certificate
BPL card or Ration card
Caste certificate
Aadhar Card
ANC registration number along with noting whether it is first or second delivery
"
"Maternity Benefit/Delivery Assistance (K.B.O.C.W.W.B)",,"Financial Assistance: ₹50,000/- for each of the first two (2) deliveries.","The applicant should be a Building/ Construction Worker (Unorganised Worker).
The applicant should be a minimum of 18 years of age.
The applicant should have engaged in building and construction work for at least 90 days in a given year.
For the Application of the Welfare Scheme:
The applicant should be a registered woman construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka.
The applicant should be pregnant.
Assistance is only for the first two (2) deliveries.","Online
Registration Process as a Building/ Construction Worker:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”.
Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP.
Step 3: From the dashboard, click on “Registration”.
Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process.
Application Process of the Welfare Scheme:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page).
Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents.
Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process.
Renewal Process:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents.
Step 4: Review the details and click on “Submit” to complete the renewal process.
Note:
Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid.
Helpdesk:
Karnataka Building And Other Construction Workers Welfare Board,
Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29.
Office No: 080-29753078
E-mail: labour.commissioner42@gmail.com","For Registration as a Building/ Construction Worker:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).
Aadhar Card (Self-Attested).
Ration Card(non-mandatory).
Age Proof (Voter ID Card/Aadhar Card).
For the Application of the Welfare Scheme:
Proof of Identity/Smart card issued by the Board (Attested).
Affidavit for second child.
Proof of Bank Account.
Photo of Child.
Employment Certificate.
Discharge Summary.
Birth Certificate of Child.
For the Renewal Process:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D))."
Medical Assistance (Karmika Arogya Bhagya) (K.B.O.C.W.W.B),,"Financial Coverage: ₹300/- per day to the maximum of  ₹20,000/- for a continuous period of Hospitalization subject to actuals.
Note: The assistance shall be towards hospitalisation for a minimum of 48 hours continuously.","For Registration as a Building/ Construction Worker:
The applicant should be a Building/ Construction Worker (Unorganised Worker).
The applicant should be a minimum of 18 years of age.
The applicant should have engaged in building and construction work for at least 90 days in a given year.
For the Application of the Welfare Scheme:
The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka or his/her dependents.
The beneficiary must be hospitalized for at least 48 continuous hours.
Treatment must be conducted in a government, private, or State Government recognised insurance scheme hospital.
","Online
Registration Process as a Building/ Construction Worker:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”.
Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP.
Step 3: From the dashboard, click on “Registration”.
Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process.
Application Process of the Welfare Scheme:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page).
Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents.
Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process.
Renewal Process:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents.
Step 4: Review the details and click on “Submit” to complete the renewal process.
Note:
Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid.
Timeline: Application can be submitted within 6 months of hospitalisation commencement date.
Helpdesk:
Karnataka Building And Other Construction Workers Welfare Board,
Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29.
Office No: 080-29753078
E-mail: labour.commissioner42@gmail.com","For Registration as a Building/ Construction Worker:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).
Aadhar Card (Self-Attested).
Ration Card(non-mandatory).
Age Proof (Voter ID Card/Aadhar Card).
For the Application of the Welfare Scheme:
Discharge Summary.
Form 22A.
Treatment Bill.
Self Declaration Form.
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).
For the Renewal Process:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D))."
Accident Assistance (K.B.O.C.W.W.B),,"Death Benefit: ₹5,00,000/- granted (50% in Fixed Deposit, 50% via cheque/DBT) to the first living nominee.
Permanent Total Disablement Benefit: ₹2,00,000/- granted (50% in Fixed Deposit, 50% via cheque/DBT).
Permanent Partial Disablement Benefit: ₹1,00,000/- granted proportionally (50% in Fixed Deposit, 50% via cheque/DBT).
","For Registration as a Building/ Construction Worker:
The applicant should be a Building/ Construction Worker (Unorganised Worker).
The applicant should be a minimum of 18 years of age.
The applicant should have engaged in building and construction work for at least 90 days in a given year.
For the Application of the Welfare Scheme:
The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka.
The accident must occur either during the course of employment or outside of work.","Online
Registration Process as a Building/ Construction Worker:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”.
Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP.
Step 3: From the dashboard, click on “Registration”.
Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process.
Application Process of the Welfare Scheme:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page).
Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents.
Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process.
Renewal Process:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents.
Step 4: Review the details and click on “Submit” to complete the renewal process.
Note:
Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid.
Helpdesk:
Karnataka Building And Other Construction Workers Welfare Board,
Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29.
Office No: 080-29753078
E-mail: labour.commissioner42@gmail.com","For Registration as a Building/ Construction Worker:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).
Aadhar Card (Self-Attested).
Ration Card(non-mandatory).
Age Proof (Voter ID Card/Aadhar Card).
For the Application of the Welfare Scheme:
Medical Certificate.
Medical Disability Certificate.
Death certificate.
FIR COPY.
Postmortem Report.
Self Declaration.
For the Renewal Process:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D))."
Assistance For Major Ailments (Karmika Chikitsa Bhagya) (K.B.O.C.W.W.B),,"Financial Assistance: ₹2,00,000/- for major ailment treatments.","For Registration as a Building/ Construction Worker:
The applicant should be a Building/ Construction Worker (Unorganised Worker).
The applicant should be a minimum of 18 years of age.
The applicant should have engaged in building and construction work for at least 90 days in a given year.
For the Application of the Welfare Scheme:
The beneficiary should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka or his/her dependents.
The worker or their dependents must suffer from a major ailment specified in the scheme","Online
Registration Process as a Building/ Construction Worker:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”.
Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP.
Step 3: From the dashboard, click on “Registration”.
Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process.
Application Process of the Welfare Scheme:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page).
Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents.
Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process.
Renewal Process:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents.
Step 4: Review the details and click on “Submit” to complete the renewal process.
Note:
Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid.
Timeline: Application can be submitted within 6 months of hospitalisation commencement date.
List of private hospitals recognised by the Government for medical reimbursement.
Helpdesk:
Karnataka Building And Other Construction Workers Welfare Board,
Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29.
Office No: 080-29753078
E-mail: labour.commissioner42@gmail.com",
Shramashakthi Special Women's Scheme,"The ""Shramashakthi Special Women's Scheme"" was launched by the Minorities Welfare Department, Government of Karnataka, and implemented by the Karnataka Minorities Development Corporation. This is a special scheme for the economic empowerment of widowed, divorced, unmarried women of the minority community. Under this scheme, ₹25,000/- loan and ₹25,000/- subsidy will be provided to undertake various economic activities.","A total of ₹50,000/- is provided, comprising ₹25,000/- as a loan and ₹25,000/- as a subsidy.","he applicant should be a female. The applicant should be a widowed, divorced, unmarried woman. The applicant should belong to a religious minority community as defined in the Government Order.The applicant should be a permanent resident of Karnataka.The applicant's age should be between 18 to 55 years.The annual family income of the applicant from all sources should be below ₹3,50,000/-.The applicant's family member should not be a State/Central Government employee. The applicant or family members should not have availed of benefits under any other scheme (Excluding the Arivu Scheme) of the KMDCL in the last 5 years.","Step-01: Applicant need to visits the Karnataka Minorities Development Corporation official website.  
Step-02: Click ""Apply Online"" and Enter ""Mobile Number"" and ""Submit"".   
Step-03: Enter ""Aadhaar Number"" Fill in the ""Captcha"" and Select ""Next"".
Step-04: Applicant will get OTP in his/her Aadhaar Linked Mobile Number.
Step-05: Enter ""OTP"" and select ""Continue"", After that Allow the official notice.
Step-06: After verifying the Aadhaar again fill in the ""OTP"" and Submit.
Step-07: Select the scheme ""Sikhligar’s Community Development Scheme"" and fill in the basic details father's name, gender, qualification detail
Step-08: Select ""Next"" Fill in the address detail and again select ""Next"".
Step-09: Upload the required document passport-size photo, educational document, income certificate, etc. 
Step-10: Click ""Proceed"" and Select ""Submit Application"" and get an Application ID.

","Project Report.Caste/Minority Certificate (issued by the competent authority).Income Certificate (issued by the competent authority).Copy of Aadhaar as Residential Proof.Copy of Bank Passbook.Self-Declaration Form from Surety.Self-Declaration Form.
"
Kayaka Spoorthi Scheme Karnataka,"The ""Kayaka Spoorthi Scheme"" aims to provide financial assistance to women Self-Help Groups (SHGs) engaged in the leather industry. The goal is to promote self-sufficiency and economic independence by enabling these women to start or expand business activities related to leatherwork. A group of 10 members receives financial support under this scheme.",,,,
,,,,,
,,,,,
,,,,,
