scheme_name,details,benefits,eligibility,app_process,docs_reqd,url
Thayi Bhagya Scheme,"Under this scheme, the pregnant woman belonging to BPL family can avail delivery services free of cost in the registered private hospital near her house. She is not required to pay any charges right from the point of admission to discharge. The benefit is limited to the first two live deliveries.
The beneficiaries are identified through the ANC cards issued to them.
The scheme has been introduced in the six ""C"" category districts of Gulbarga, Bidar, Raichur, Koppal, Bijapur and Bagalkot and the backward district Chamarajanagar.

i. Shortage of specialist doctors, especially the gynecologists, anesthetists and pediatricians at Taluk hospitals and CHCs, The posts of these specialists are mostly vacant in Government Hospitals.
ii. Though there are very large number of government health care institutions in the state, the shortage of these specialists is a big draw back in providing proper maternal and child health care.
iii.There are considerable number of specialist doctors in urban private hospitals.
iv. By entering into Public-Private partnership with these hospitals, rural women can be provided with facilities for proper institutional deliveries.

The hospitals having requisite facilities will be registered under the programme with the approval of District Health Society. The Hospitals will then sign an MOU with the Department. Government Hospitals can also participate in this scheme.

Such registered hospitals will be paid Rs. 3.00 lakhs per 100 deliveries, which include normal delivery, complicated deliveries, caesarian, forceps deliveries etc. These hospitals will be paid 10% ie., Rs.30,000 advance on participation in the scheme. This is to encourage more and more private hospitals to participate in the programme.
The Government Hospitals will be paid Rs. 1.50 lakhs for every 100 deliveries, out of which 50,000 goes to the Health Care Committee and the remaining is shared among the Hospital doctors, nurses and staff as per Yeshaswini guidelines.​","The scheme provides benefits in the form of delivery services free of costs and others.
Women belonging to BPL families can avail totally cashless treatment in theses private hospitals or can avail delivery services free of cost in the registered private hospital near her house.
Registered private hospital will be available near her house.
Candidate is not required to pay any charges right from the point of admission to discharge.
Free checkup and medicines will be provided.","The benefit is limited to the first two deliveries.
The candidate women must be residents of Karnataka government
The hospital should have minimum 10 inpatient beds.
Should have proper functional Operation Theater and Delivery room.
24 hrs availability of gynecologists, anesthetists and pediatricians.
Should have link with Blood banks.
The DHO has to identify such hospitals and invite them for partnership. Interested hospitals can sign the MOU.
Such registered hospitals will be paid Rs. 3.00 lakhs per 100 deliveries, which include normal delivery, complicated deliveries, caesarean, forceps deliveries etc. These hospitals will be paid 10% ie., Rs.30,000 advance on participation in the scheme. This is to encourage more and more private hospitals to participate in the program.
The Government Hospitals will be paid Rs. 1.50 lakhs for every 100 deliveries, out of which 50,000 goes to the Health Care Committee and the remaining is shared among the Hospital doctors, nurses and staff as per Yeshaswini guidelines.​
","Offline
The pregnant women have to register their names with the Junior Female Health Assistant of the area.
The women will issue ANC card.
The beneficiaries are identified through the ANC cards issued to them.
Then candidates can avail benefits from nearer registered hospitals.

Candidate applicants can contact the Head office from where the scheme is operated.
Email: prs-hfw@karnataka.gov.in","Domicile certificate
BPL card or Ration card
Caste certificate
Aadhar Card
ANC registration number along with noting whether it is first or second delivery
",https://www.myscheme.gov.in/schemes/thayi-bhagya
Medical Assistance (Karmika Arogya Bhagya) (K.B.O.C.W.W.B),"The ""Medical Assistance (Karmika Arogya Bhagya)'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme for the registered workers of the board. Under this Scheme, registered construction workers and their dependents are eligible for monetary support during hospitalisation for treatment in government, private, or hospitals recognised under any insurance scheme of the State Government. The assistance shall be towards hospitalisation for a minimum of 48 hours continuously.","Financial Coverage: ₹300/- per day to the maximum of  ₹20,000/- for a continuous period of Hospitalization subject to actuals.
Note: The assistance shall be towards hospitalisation for a minimum of 48 hours continuously.
","For Registration as a Building/ Construction Worker:
The applicant should be a Building/ Construction Worker (Unorganised Worker).
The applicant should be a minimum of 18 years of age.
The applicant should have engaged in building and construction work for at least 90 days in a given year.
For the Application of the Welfare Scheme:
The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka or his/her dependents.
The beneficiary must be hospitalized for at least 48 continuous hours.
Treatment must be conducted in a government, private, or State Government recognised insurance scheme hospital.
","Online
Registration Process as a Building/ Construction Worker:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”.
Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP.
Step 3: From the dashboard, click on “Registration”.
Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process.
Application Process of the Welfare Scheme:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page).
Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents.
Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process.
Renewal Process:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents.
Step 4: Review the details and click on “Submit” to complete the renewal process.
Note:
Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid.
Timeline: Application can be submitted within 6 months of hospitalisation commencement date.
Helpdesk:
Karnataka Building And Other Construction Workers Welfare Board,
Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29.
Office No: 080-29753078
E-mail: labour.commissioner42@gmail.com","For Registration as a Building/ Construction Worker:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).
Aadhar Card (Self-Attested).
Ration Card(non-mandatory).
Age Proof (Voter ID Card/Aadhar Card).
For the Application of the Welfare Scheme:
Discharge Summary.
Form 22A.
Treatment Bill.
Self Declaration Form.
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).
For the Renewal Process:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).",https://www.myscheme.gov.in/schemes/makabbocwwb
Accident Assistance (K.B.O.C.W.W.B),"The ""Accident Assistance'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme for the registered workers of the board. Under this Scheme, every registered construction worker who meets with an accident during the course of employment shall be compensated by the employer under the provisions of the Employee’s Compensation Act, along with a compensation from the Board.","Death Benefit: ₹5,00,000/- granted (50% in Fixed Deposit, 50% via cheque/DBT) to the first living nominee.
Permanent Total Disablement Benefit: ₹2,00,000/- granted (50% in Fixed Deposit, 50% via cheque/DBT).
Permanent Partial Disablement Benefit: ₹1,00,000/- granted proportionally (50% in Fixed Deposit, 50% via cheque/DBT).
","For Registration as a Building/ Construction Worker:
The applicant should be a Building/ Construction Worker (Unorganised Worker).
The applicant should be a minimum of 18 years of age.
The applicant should have engaged in building and construction work for at least 90 days in a given year.
For the Application of the Welfare Scheme:
The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka.
The accident must occur either during the course of employment or outside of work.","Online
Registration Process as a Building/ Construction Worker:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”.
Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP.
Step 3: From the dashboard, click on “Registration”.
Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process.
Application Process of the Welfare Scheme:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page).
Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents.
Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process.
Renewal Process:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents.
Step 4: Review the details and click on “Submit” to complete the renewal process.
Note:
Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid.
Helpdesk:
Karnataka Building And Other Construction Workers Welfare Board,
Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29.
Office No: 080-29753078
E-mail: labour.commissioner42@gmail.com","For Registration as a Building/ Construction Worker:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).
Aadhar Card (Self-Attested).
Ration Card(non-mandatory).
Age Proof (Voter ID Card/Aadhar Card).
For the Application of the Welfare Scheme:
Medical Certificate.
Medical Disability Certificate.
Death certificate.
FIR COPY.
Postmortem Report.
Self Declaration.
For the Renewal Process:
Employment Certificate/90 Days Work Certificate (Form V(A)/V(B)/V(C)/V(D)).",https://www.myscheme.gov.in/schemes/kaabocwwb
Assistance For Major Ailments (Karmika Chikitsa Bhagya) (K.B.O.C.W.W.B),"The ""Assistance For Major Ailments'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme for the registered workers of the board. Under this Scheme, the Board provides financial assistance to registered construction workers and their dependents for medical expenses related to specified major ailments. The scheme ensures that eligible workers receive necessary medical treatment without facing financial hardship.","Financial Assistance: ₹2,00,000/- for major ailment treatments.","For Registration as a Building/ Construction Worker:
The applicant should be a Building/ Construction Worker (Unorganised Worker).
The applicant should be a minimum of 18 years of age.
The applicant should have engaged in building and construction work for at least 90 days in a given year.
For the Application of the Welfare Scheme:
The beneficiary should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka or his/her dependents.
The worker or their dependents must suffer from a major ailment specified in the scheme","Online
Registration Process as a Building/ Construction Worker:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”.
Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP.
Step 3: From the dashboard, click on “Registration”.
Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process.
Application Process of the Welfare Scheme:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page).
Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents.
Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process.
Renewal Process:
Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”.
Step 2: Enter your registered mobile number and the received OTP.
Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents.
Step 4: Review the details and click on “Submit” to complete the renewal process.
Note:
Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid.
Timeline: Application can be submitted within 6 months of hospitalisation commencement date.
List of private hospitals recognised by the Government for medical reimbursement.
Helpdesk:
Karnataka Building And Other Construction Workers Welfare Board,
Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29.
Office No: 080-29753078
E-mail: labour.commissioner42@gmail.com",,https://www.myscheme.gov.in/schemes/amakcbkassistance-for-major-ailments-karmika-chikitsa-bhagya-kbocwwb
Shramashakthi Special Women's Scheme,"The ""Shramashakthi Special Women's Scheme"" was launched by the Minorities Welfare Department, Government of Karnataka, and implemented by the Karnataka Minorities Development Corporation. This is a special scheme for the economic empowerment of widowed, divorced, unmarried women of the minority community. Under this scheme, ₹25,000/- loan and ₹25,000/- subsidy will be provided to undertake various economic activities.","A total of ₹50,000/- is provided, comprising ₹25,000/- as a loan and ₹25,000/- as a subsidy.","he applicant should be a female. The applicant should be a widowed, divorced, unmarried woman. The applicant should belong to a religious minority community as defined in the Government Order.The applicant should be a permanent resident of Karnataka.The applicant's age should be between 18 to 55 years.The annual family income of the applicant from all sources should be below ₹3,50,000/-.The applicant's family member should not be a State/Central Government employee. The applicant or family members should not have availed of benefits under any other scheme (Excluding the Arivu Scheme) of the KMDCL in the last 5 years.","Step-01: Applicant need to visits the Karnataka Minorities Development Corporation official website.  
Step-02: Click ""Apply Online"" and Enter ""Mobile Number"" and ""Submit"".   
Step-03: Enter ""Aadhaar Number"" Fill in the ""Captcha"" and Select ""Next"".
Step-04: Applicant will get OTP in his/her Aadhaar Linked Mobile Number.
Step-05: Enter ""OTP"" and select ""Continue"", After that Allow the official notice.
Step-06: After verifying the Aadhaar again fill in the ""OTP"" and Submit.
Step-07: Select the scheme ""Sikhligar’s Community Development Scheme"" and fill in the basic details father's name, gender, qualification detail
Step-08: Select ""Next"" Fill in the address detail and again select ""Next"".
Step-09: Upload the required document passport-size photo, educational document, income certificate, etc. 
Step-10: Click ""Proceed"" and Select ""Submit Application"" and get an Application ID.

","Project Report.Caste/Minority Certificate (issued by the competent authority).Income Certificate (issued by the competent authority).Copy of Aadhaar as Residential Proof.Copy of Bank Passbook.Self-Declaration Form from Surety.Self-Declaration Form.
",https://www.myscheme.gov.in/schemes/ssws
Kayaka Spoorthi Scheme Karnataka,"The ""Kayaka Spoorthi Scheme"" aims to provide financial assistance to women Self-Help Groups (SHGs) engaged in the leather industry. The goal is to promote self-sufficiency and economic independence by enabling these women to start or expand business activities related to leatherwork. A group of 10 members receives financial support under this scheme.","Financial Assistance of ₹2,50,000/- per SHG with 10 members.","A Self-Help Group must have at least 10 female artisans to be eligible.The applicant should belongs to sub-castes Arundathiyar, Chammadiya, Chamar, Chambar, Chamagar, Madar, Madig, Madiga, Mini Madig, Jambavalu, Haralayya, Machigar, Mochigar, Mochi, muchi, Telugu Mochi, kamaati mocha, Rohidas, Dhor, kakkayya, Kankayya, Samagara, Samagar, Aadhi Anddra, Aadhi Dravida, Aadhi Karnataka among schedule castes.The age of the applicant should be 18 years.The applicant's annual family income should not exceed ₹30,000/- in rural areas and ₹25,000/- in urban areas.The applicant or their family members must not have received benefits from other schemes, except training programs.The applicant's family members should not be employed in government or semi-government organizations.","Registration Process:
Step-01: Visit the official Seva Sindhu Portal. 
Step-02: Choose ""New Users Register Here"" and fill in your Aadhaar Number and the Captcha code.
Step-03: An OTP will be sent to your Aadhaar-linked mobile number. Enter the OTP to continue.
Step-04: Once your DigiLocker account is created, click ""Allow"" to proceed.
Step-05:
 Fill out your email ID, mobile number, create a password, and enter the captcha, then click ""Submit"".
Step-06: You will receive OTPs on both your email and mobile number. Enter both OTPs and select ""Validate"".
Step-07: Once validated, a confirmation message will indicate your registration is successful.


Applying for a Scheme::
Step-01: Go to Seva Sindhu Portal and select ""Department & Services"".
Step-02: Select department ""Social Welfare Department"" and click on the scheme ""Kayaka Spoorthi Scheme""
Step-03: Click ""Apply Online"" and enter your registered email ID/mobile number and the OTP.
Step-04: Select the scheme and provide your personal, address, and banking details as required.
Step-05: Once submitted, you will receive an Application ID. You can use this ID to track your application status on the portal.",Passport-size Photograph of the Applicant and Spouse.Aadhaar Card.Caste certificate with RD number.Income Certificate.Ration Card.E-Shram Card (for cobblers/shoemakers).First Page of the SHG Bank Passbook.Detailed Project Report (for self-employment programs).Loan Documents.,https://www.myscheme.gov.in/schemes/kssk
Udyogini Scheme,"Started in the year 1997-1998 (and amended in the year 2004-2005), Udyogini is an innovative scheme sanctioned by the Government of Karnataka to assist women in gaining self-reliance and economic independence through self-employment, mainly through trade and the service sector. It also provides for a subsidy on loans from the Karnataka State Women’s Development Corporations for undertaking business activities/ micro enterprises through banks and other financial institutions. Loans are disbursed through financial institutions like commercial banks, district cooperative banks, and Regional Rural Banks (RRBs). 


In absence of a structured credit system, women would take loans from private borrowers and end up paying a high rate of interest. Hence, there was felt a need to have in place formal channels of credit which are accessible to women. Profitable business activities are approved and supported under this scheme. They may be bookbinding and notebooks manufacturing, chalk and crayon manufacture, jam, jelly, pickles manufacture, papad manufacture, saree, and embroidery work, printing and dyeing of clothes, and woolen weaving, amongst others. Udyogini gives adequate opportunities to such women to help them be self-employed. ","For women belonging to the Scheduled caste and Scheduled tribe, the unit cost is a minimum ₹ 1,00,000 to a maximum of ₹ 3,00,000.  The subsidy is 50% of the loan amount, income limit of the family should be below ₹ 2,00,000 per year.For women belonging to the special category and general category maximum unit cost is ₹ 3,00,000.  Subsidy for special category women and for general category women is 30%  or a maximum of ₹ 90,000/-.  With EDP training for selected beneficiaries.","The applicant should be a woman.The family income of the applicant should be less than ₹ 1,50,000/- for women belonging to general and special categories. No limit on family income for widowed or disabled women.The age of the applicant should be between 18 to 55 years for all categories.The applicant should be a permanent resident of Karnataka.The applicant should not have defaulted on any past loan with any financial institution.","Offline: Step 1: To apply for a business loan, the applicant can visit the nearest bank with all the required documents and fill out an application form to proceed with bank formalities. The application forms are available in the offices of the Deputy Director/CDPO, and also on the official website of the banks offering loans. Alternatively, it can be downloaded from the website of the corporation www.kswdc.com.


Step 2: The completed application form along with the required documents has to be submitted to the nearest bank / KSFC branch. The bank / KSFC officials will verify the documents and the project proposal and then process the loan application. Banks send a request letter to the Corporation for the release of subsidy, and the bank then releases the loan amount.


Step 3: Once the loan application is approved, the loan amount is disbursed to the applicant's bank account or directly to the supplier's account for the machinery, equipment, or any other capital expenditure.
Online:Step 1: The applicants can apply for loans online by visiting the official website of banks offering loans under the Udyogini scheme. CDPO examines applications and forwards them to Selection Committee after spot verification.
The selection committee examines and forwards to Banks to release the loan.


Step 2: The bank / KSFC officials will verify the documents and the project proposal and then process the loan application. Banks send a request letter to the Corporation for the release of subsidy, and the bank then releases the loan amount.


Step 3: Once the loan application is approved, the loan amount is disbursed to the applicant's bank account or directly to the supplier's account for the machinery, equipment, or any other capital expenditure.
","Three passport-size photographs of the applicant.Certificate regarding training/experience of the activity under which the loan is sought.Detailed Project Report (DPR) of the activity for which financial assistance is sought.Ration Card / Voter ID Card.Annual Income Certificate of the Family.Caste Certificate (in case of SC/ST applicants).Quotations for Machinery, Equipment, and other Capital Expenses",https://www.myscheme.gov.in/schemes/us
Incentive for the SC Widow Re-Marriage,"This scheme is aimed at encouraging widows to remarry by providing financial assistance to lead a normal life. The main objective of the scheme is to promote widow remarriage and rehabilitate widows by providing financial assistance. This scheme brings in a new dimension of social change among the widows.

Under this scheme, the Social Welfare Department, Government of Karnataka will give incentives to the remarried widows belonging to the SC Community. The incentive is provided only to those who have submitted applications within 1 year of marriage.

","If a widow from the Scheduled Caste community remarries a male from another caste, she will receive an incentive of ₹3 lakh.If the beneficiary has already received an incentive under the simple marriage, she will be eligible for ₹2.50 lakh under this scheme.","The applicant should be a resident of Karnataka.The applicant should be a widow.The widow should belong to the Scheduled Caste community.There is no annual income limit for this scheme.Incentives will be provided only to those who submit their application within one year of marriage.There are no caste/religion restrictions for the spouse.
Note: The couple should reside in Karnataka.","Step 1: First go to the official website.
Step 2: Using your Aadhaar Card, do the registration and provide all the required information.
Step 3: Upload all the relevant documents.
Step 4: After Registration, an SMS will be sent to the applicant and she can print the acknowledgement form as proof of application.
Step 5: Social Welfare department will do spot verification to verify the details provided by the applicant and process the application further.
Step 6: After successful spot verification by the department, the incentive will be credited to the registered bank account of the applicant.","1)        Aadhaar Card
2)        RD Number of Caste Certificate
3)        Present Marriage Registration Certificate
4)        Copy of the Bank Passbook
5)        Date of Birth Proof
6)        Marriage Photo
7)        Mobile Number
8)        Previous Spouse's Death Certificate
9)        Any address proof of the previous spouse",https://www.myscheme.gov.in/schemes/iscwr
Prerana (micro Credit Finance) Scheme,"In order to encourage women from the Schedule caste community and economically empower them DR. BR Ambedkar Development Corporation has launched the Prerana scheme.
The objective of this program is to encourage women from urban and rural areas to set up self-help groups and help them to set up a productive business and turn them profitably. Financial assistance will be extended to the Scheduled Tribe women members of the Self-help groups to engage them in income-generating activities 
Financial aid will be provided to a self-help group of ten women.
A joint account will be opened and a financial assistance of Rs. 2.50 Lakhs to income generating activities will be provided.
The corporation will pay each individual a sum of Rs. 25,000/- of which Rs. 15.000 will be a subsidy and Rs. 10.000 will be in the form of a loan. 
Income generated by the self-help group shall be shared equally thus ensuring economic prosperity of all members of the group.


The loan together with interest @4% per annum has to be repaid by the SHG to the corporation in 36 monthly or 12 quarterly installments.",Beneficiary: Scheduled Caste/Scheduled Tribe WomenEncourage women from the Schedule caste community and economically empower them.To support taking up of economic activitiesFinancial assistance of Rs.25000/- which includes Rs.15000/-subsidy and Rs.10000/- loan at 4% interest rate per annum.,"Self Help Group (SHG).The applicant should belong to the Scheduled caste/Scheduled Tribe community.The applicant should be a resident of Karnataka.The applicant should be above 21 years of age. The family’s annual income should not exceed Rs. 1,50,000 for rural and Rs. 2,00,000 for Urban applicant.Applicant will be considered ineligible if they/their family member has earlier availed a subsidy from the Corporation/Government of Karnataka.The applicant should be a member or should avail membership of such self- help group.The self-help group seeking self-employment opportunity should possess a stall/unit with minimum of 200 sft (rent/lease/own).An agreement stating that the applicants will be a part of the self-help group, detailed description about their business activity and sharing of income generated should be submitted to the corporation. The grant and the loan component provided should be used as the primary source of finance. The selected candidate if at any stage is found ineligible such sanction from the corporation stands cancelled.",,Passport size photo with applicationCertificate belonging to Scheduled Caste/Scheduled TribeAnnual family income CertificateFamily ration cardVoter ID cardAadhar cardFamily TreeLandless Land Workers Certificate (Land Ownership Plan),https://www.myscheme.gov.in/schemes/prerana
Charmashilpa Scheme,"The Charmashilpa Scheme aims to modernize the leather artisans' production methods by offering financial assistance to setup mechanized production units. This support helps leather artisan SHGs and cooperative societies enhance the quality of their products, making them more competitive in the market. The scheme provides both financial and technical assistance, helping artisans shift from traditional methods to modern techniques.","Total Financial Assistance: ₹10,00,000/- per unit.
₹5,00,000/- as subsidy.₹5,00,000/- as a bank loan.


Breakdown of costs:
₹3,50,000/- for machinery.₹6,00,000/- for working capital (raw materials and labor).₹50,000 for other expenses.","The applicant should be leather artisans/Artisans SHGs/Co-operative societies.The applicant should belongs to sub-castes Arundathiyar, Chammadiya, Chamar, Chambar, Chamagar, Madar, Madig, Madiga, Mini Madig, Jambavalu, Haralayya, Machigar, Mochigar, Mochi, muchi, Telugu Mochi, kamaati mocha, Rohidas, Dhor, kakkayya, Kankayya, Samagara, Samagar, Aadhi Anddra, Aadhi Dravida, Aadhi Karnataka among schedule castes.The age of the applicant should be 18 years.The applicant's annual family income should not exceed ₹30,000/ in rural areas and ₹25,000/- in urban areas.The applicant or their family members must not have received benefits from other schemes, except training programs.The applicant's family members should not be employed in government or semi-government organizations.","Registration Process:
Step-01: Visit the official Seva Sindhu Portal. 
Step-02: Choose ""New Users Register Here"" and fill in your Aadhaar Number and the Captcha code.
Step-03: An OTP will be sent to your Aadhaar-linked mobile number. Enter the OTP to continue.
Step-04: Once your DigiLocker account is created, click ""Allow"" to proceed.
Step-05:
 Fill out your email ID, mobile number, create a password, and enter the captcha, then click ""Submit"".
Step-06: You will receive OTPs on both your email and mobile number. Enter both OTPs and select ""Validate"".
Step-07: Once validated, a confirmation message will indicate your registration is successful.


Applying for a Scheme:
Step-01: Go to Seva Sindhu Portal and select ""Department & Services"".
Step-02: Select department ""Social Welfare Department"" and click on the scheme ""Charmashilpa Scheme""
Step-03: Click ""Apply Online"" and enter your registered email ID/mobile number and the OTP.
Step-04: Select the scheme and provide your personal, address, and banking details as required.
Step-05: Once submitted, you will receive an Application ID. You can use this ID to track your application status on the portal.",Aadhaar Card.Caste certificate with RD number.Annual Income Certificate.Ration Card.Passport-size Photograph of the applicant and spouse.E-Shram card (for cobblers/shoemakers).First page of SHG Bank Passbook.Detailed Project Report .Loan documents.,https://www.myscheme.gov.in/schemes/cs
