name,url
Thayi Bhagya Scheme,https://www.myscheme.gov.in/schemes/thayi-bhagya
Medical Assistance (Karmika Arogya Bhagya) (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/makabbocwwb
Accident Assistance (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/kaabocwwb
Assistance For Major Ailments (Karmika Chikitsa Bhagya) (K.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/amakcbkassistance-for-major-ailments-karmika-chikitsa-bhagya-kbocwwb
Shramashakthi Special Women's Scheme,https://www.myscheme.gov.in/schemes/ssws
Kayaka Spoorthi Scheme Karnataka,https://www.myscheme.gov.in/schemes/kssk
Udyogini Scheme,https://www.myscheme.gov.in/schemes/us
Incentive for the SC Widow Re-Marriage,https://www.myscheme.gov.in/schemes/iscwr
Prerana (micro Credit Finance) Scheme,https://www.myscheme.gov.in/schemes/prerana
Charmashilpa Scheme,https://www.myscheme.gov.in/schemes/cs
Airavata Scheme,https://www.myscheme.gov.in/schemes/airavata
"ICMR- Post Doctoral Fellowship",https://www.myscheme.gov.in/schemes/icmr-pdf
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,https://www.myscheme.gov.in/schemes/dacsspostmsebcs
Stipend to Scheduled Caste Trainees in Technical Training Institutions,https://www.myscheme.gov.in/schemes/sscttti
Award of Opportunity Cost to Parents of Scheduled Caste Girl Students,https://www.myscheme.gov.in/schemes/aocpscgs
"Scholarship For Transgender Students
",https://www.myscheme.gov.in/schemes/sts
"Scholarships to Students with Disabilities Scheme
",https://www.myscheme.gov.in/schemes/ssds-punjab
Arivu Education Loan Scheme,https://www.myscheme.gov.in/schemes/aels
Madilu Kit,https://www.myscheme.gov.in/schemes/madilu
Supply of Tool Kits to their Trained Workers,https://www.myscheme.gov.in/schemes/stkk
Stipend To Law Graduates,https://www.myscheme.gov.in/schemes/slg
Incentive Scheme for Sericulture Reelers,https://www.myscheme.gov.in/schemes/isfsr
Atma Nirbhar Krishi Yojana,https://www.myscheme.gov.in/schemes/anky
Krushy Aranya Protsaha Yojane (kapy),https://www.myscheme.gov.in/schemes/kapy
YSR Jala Kala,https://www.myscheme.gov.in/schemes/ysrjk
Indian Agricultural Research Institute - Scholarship,https://www.myscheme.gov.in/schemes/iaris
Kisan Credit Card,https://www.myscheme.gov.in/schemes/kcc
Stipend Scheme For Poultry Farming Training For Weaker Section,https://www.myscheme.gov.in/schemes/sspftws
DEVELOPMENT OF HANDICRAFTS,https://www.myscheme.gov.in/schemes/doh
"Mahatma Gandhi National Rural Employment Guarantee Act
",https://www.myscheme.gov.in/schemes/mgnrega
Free Education For Sports Medal Winners / Participants Of National/ International Events,https://www.myscheme.gov.in/schemes/fesmwpnie
"Film Finance Scheme",https://www.myscheme.gov.in/schemes/fss
"Goa State Best Library and Best Librarian Award",https://www.myscheme.gov.in/schemes/gsblbla
Pradhan Mantri Gram Sadak Yojana,https://www.myscheme.gov.in/schemes/pmgsy
Pradhan Mantri Ujjwala Yojana,https://www.myscheme.gov.in/schemes/pmuy
